变量,分箱,样本数,WOE,得分
基础分,—,—,—,421.4
grade,A,5932,-1.2334,+66.6
grade,B,10720,-0.3918,+21.1
grade,C,9011,0.0772,-4.2
grade,D,5477,0.4893,-26.4
grade,E,2551,0.8591,-46.4
grade,F,1025,1.1407,-61.6
grade,G,284,1.2502,-67.5
loan_to_income,"(-inf, 0.109]",7000,-0.4348,+14.7
loan_to_income,"(0.109, 0.167]",7367,-0.3832,+13.0
loan_to_income,"(0.167, 0.226]",6633,-0.1136,+3.8
loan_to_income,"(0.226, 0.308]",6953,0.1232,-4.2
loan_to_income,"(0.308, inf]",7047,0.5982,-20.3
term,36 个月,27399,-0.2282,+5.9
term,60 个月,7601,0.6406,-16.6
dti,"(-inf, 9.41]",7002,-0.3962,+14.0
dti,"(9.41, 14.0]",7001,-0.2354,+8.3
dti,"(14.0, 18.28]",6999,-0.0605,+2.1
dti,"(18.28, 23.14]",7003,0.1089,-3.8
dti,"(23.14, inf]",6995,0.4521,-15.9
annual_inc,"(95000.0, inf]",6699,-0.4319,+28.0
annual_inc,"(70000.0, 95000.0]",6951,-0.1517,+9.8
annual_inc,"(55000.0, 70000.0]",6657,0.0118,-0.8
annual_inc,"(40672.8, 55000.0]",7693,0.1377,-8.9
annual_inc,"(-inf, 40672.8]",7000,0.3057,-19.8
revol_util,"(-inf, 32.2]",7016,-0.383,+6.7
revol_util,"(32.2, 49.3]",7030,-0.1612,+2.8
revol_util,"(49.3, 63.1]",6965,0.022,-0.4
revol_util,"(63.1, 77.8]",7009,0.1869,-3.3
revol_util,"(77.8, inf]",6980,0.2546,-4.5
inq_last_6mths,"(-inf, 0.0]",16748,-0.1564,+8.0
inq_last_6mths,"(0.0, 1.0]",10072,-0.0015,+0.1
inq_last_6mths,"(1.0, 2.0]",4984,0.1674,-8.6
inq_last_6mths,"(2.0, inf]",3196,0.4487,-23.1
revol_bal_to_income,"(0.335, inf]",7000,0.2941,+1.9
revol_bal_to_income,"(0.224, 0.335]",7000,0.0957,+0.6
revol_bal_to_income,"(0.15, 0.224]",7000,-0.0847,-0.6
revol_bal_to_income,"(0.0841, 0.15]",7000,-0.1632,-1.1
revol_bal_to_income,"(-inf, 0.0841]",7000,-0.193,-1.3
verification_status,Not Verified,12155,-0.2598,+0.7
verification_status,Source Verified,9829,0.0827,-0.2
verification_status,Verified,13016,0.1523,-0.4
credit_line_util,"(-inf, 0.292]",7002,-0.2528,+3.0
credit_line_util,"(0.292, 0.472]",6998,-0.1813,+2.1
credit_line_util,"(0.472, 0.626]",7000,0.0365,-0.4
credit_line_util,"(0.795, inf]",7000,0.1662,-2.0
credit_line_util,"(0.626, 0.795]",7000,0.1828,-2.2
loan_amnt,"(20000.0, inf]",6242,0.2728,+0.5
loan_amnt,"(14000.0, 20000.0]",7659,0.0773,+0.1
loan_amnt,"(10000.0, 14000.0]",5614,-0.0334,-0.1
loan_amnt,"(-inf, 6200.0]",7011,-0.1318,-0.3
loan_amnt,"(6200.0, 10000.0]",8474,-0.1719,-0.3
