loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,mths_since_earliest_cr_line,issue_month,y
3000,3000,36,13.67,102.06,B,B5,2,RENT,45000,Verified,credit_card,DE,30.83,0,0,,9,0,14051,60.0,12,f,0.0,0,0.0,45088.0,23400.0,113,2013-09,1
5000,5000,36,9.17,159.4,B,B1,10,MORTGAGE,95785,Not Verified,other,MD,16.6,1,0,22.0,14,0,9531,58.8,34,f,0.0,0,0.0,305269.0,16200.0,211,2014-10,0
17000,17000,60,15.31,407.21,C,C4,9,RENT,72000,Source Verified,debt_consolidation,MD,20.67,0,0,80.0,6,0,10810,76.7,19,w,0.0,0,0.0,44358.0,14100.0,165,2014-04,0
9000,9000,36,11.14,295.25,B,B2,5,OWN,60400,Not Verified,debt_consolidation,OH,12.93,0,3,80.0,7,0,11826,38.5,20,w,0.0,0,0.0,152783.0,30700.0,223,2013-01,0
5500,5500,36,11.11,180.35,B,B5,10,RENT,25000,Source Verified,debt_consolidation,NY,17.52,0,0,,9,0,7910,87.9,12,f,0.0,0,,,,189,2011-04,0
5275,5275,36,7.12,163.17,A,A3,7,MORTGAGE,35000,Source Verified,debt_consolidation,NV,31.76,0,0,72.0,12,0,3301,17.6,26,f,0.0,0,0.0,107867.0,18800.0,200,2014-10,0
3000,3000,36,11.71,99.23,B,B3,9,MORTGAGE,40000,Not Verified,home_improvement,OH,15.45,0,1,,3,0,1277,70.9,8,f,0.0,0,,,,243,2011-10,0
8000,8000,36,7.51,248.89,A,A3,2,RENT,40000,Not Verified,debt_consolidation,IL,20.76,0,0,,9,0,23768,45.4,17,f,0.0,0,,,,169,2012-01,0
13000,13000,60,12.99,295.73,C,C1,10,MORTGAGE,40000,Not Verified,credit_card,SD,15.48,0,0,,7,0,12464,73.8,15,w,0.0,0,0.0,106760.0,16900.0,227,2014-07,0
9100,9100,36,13.11,307.1,B,B4,5,RENT,51000,Not Verified,debt_consolidation,GA,15.15,0,0,,8,0,7793,54.1,15,f,0.0,0,0.0,19611.0,14400.0,116,2013-01,0
7500,7500,36,15.37,261.35,D,D5,5,RENT,75000,Verified,debt_consolidation,FL,7.09,0,1,,7,1,25908,97.4,28,f,0.0,0,,,,288,2009-07,0
12000,12000,36,12.12,399.26,B,B3,5,RENT,60000,Not Verified,debt_consolidation,PA,3.88,0,0,,5,0,8080,90.8,12,f,0.0,0,,,,182,2012-06,0
3000,3000,60,16.89,74.39,D,D4,4,RENT,33804,Not Verified,other,MO,16.68,0,2,,6,0,2214,82.0,15,f,0.0,0,,,,125,2011-08,1
12000,12000,36,6.03,365.23,A,A1,6,MORTGAGE,74004,Source Verified,debt_consolidation,VA,9.65,0,0,,9,0,6110,16.4,12,f,0.0,0,,,,247,2011-12,0
30000,30000,60,19.72,790.15,D,D5,5,RENT,70000,Verified,debt_consolidation,NY,10.85,0,0,33.0,4,0,7779,55.2,20,f,0.0,0,0.0,19999.0,14100.0,202,2012-12,0
30000,30000,36,10.15,970.13,B,B2,10,MORTGAGE,100000,Verified,credit_card,GA,28.13,0,2,,18,0,72186,45.5,41,w,0.0,0,0.0,250866.0,117600.0,236,2014-08,0
21000,21000,60,13.35,481.59,C,C2,8,MORTGAGE,70000,Source Verified,debt_consolidation,VA,28.7,0,0,45.0,18,1,7197,34.3,39,f,0.0,0,0.0,321615.0,21000.0,173,2014-07,1
8000,8000,36,8.67,253.18,B,B1,10,MORTGAGE,95000,Not Verified,debt_consolidation,NC,20.2,3,1,4.0,20,0,4520,8.4,53,w,0.0,0,172.0,197825.0,54100.0,491,2014-11,0
4000,4000,36,15.61,139.86,C,C5,0,RENT,16000,Verified,debt_consolidation,CA,12.41,0,0,,6,0,5214,59.9,6,w,0.0,0,0.0,5214.0,8700.0,144,2014-03,0
4000,4000,36,12.42,133.67,B,B4,1,RENT,21864,Source Verified,debt_consolidation,NJ,11.53,0,0,29.0,5,0,0,0.0,5,f,0.0,0,,,,116,2011-09,0
14000,14000,60,14.49,329.33,C,C4,10,MORTGAGE,70000,Not Verified,credit_card,MN,13.37,1,0,19.0,14,0,20994,89.7,32,f,0.0,0,0.0,240509.0,23400.0,241,2014-07,1
4800,4800,36,11.71,158.77,B,B3,0,RENT,21600,Source Verified,debt_consolidation,CA,15.33,0,0,,7,0,9119,49.0,21,f,0.0,0,,,,207,2012-02,0
16000,16000,36,12.12,532.35,B,B3,1,MORTGAGE,70000,Not Verified,debt_consolidation,MI,24.98,0,0,,13,0,27957,73.2,42,f,0.0,0,0.0,100128.0,38210.0,277,2012-09,0
30000,30000,36,13.35,1015.89,C,C2,10,MORTGAGE,800000,Not Verified,debt_consolidation,NY,7.33,1,2,8.0,7,5,26756,51.1,30,f,1.0,0,0.0,127396.0,52400.0,192,2014-10,1
7500,7500,36,10.39,243.38,B,B4,3,OWN,30000,Not Verified,vacation,MO,10.24,1,1,7.0,10,0,10444,14.1,20,f,0.0,0,,,,446,2008-06,0
12000,12000,36,16.29,423.61,C,C4,10,MORTGAGE,71800,Not Verified,credit_card,MI,18.97,0,0,,3,1,6683,95.5,15,f,0.0,0,0.0,122048.0,7000.0,305,2013-01,0
28000,28000,36,13.11,944.92,B,B4,5,MORTGAGE,124000,Verified,debt_consolidation,OK,26.31,0,0,,23,0,27953,68.2,38,f,0.0,0,0.0,472772.0,41000.0,236,2013-03,1
20000,20000,36,8.9,635.07,A,A5,0,RENT,61000,Source Verified,credit_card,NY,13.06,0,0,,8,0,12970,42.0,12,f,0.0,0,0.0,25235.0,30900.0,416,2013-03,0
6000,6000,36,9.67,192.68,B,B1,10,MORTGAGE,75000,Verified,debt_consolidation,NY,31.18,0,1,,13,0,6541,52.7,44,f,0.0,0,0.0,204012.0,12400.0,226,2014-03,0
8000,8000,36,15.31,278.54,C,C2,0,MORTGAGE,52280,Verified,debt_consolidation,CA,30.19,0,1,,13,0,21542,76.7,45,w,0.0,0,0.0,156830.0,28100.0,550,2013-02,1
14000,14000,60,11.49,307.83,B,B4,1,MORTGAGE,230000,Verified,other,NJ,12.68,0,0,,12,0,76700,41.4,30,f,0.0,0,,,,319,2010-06,0
5000,5000,36,10.99,163.67,B,B3,4,OWN,40000,Not Verified,credit_card,OR,17.46,0,0,,11,0,11206,52.6,23,f,0.0,0,0.0,169475.0,21300.0,216,2014-07,0
18000,18000,60,19.72,474.09,D,D5,10,RENT,62000,Verified,medical,CA,11.36,0,1,74.0,6,0,17089,52.7,14,f,0.0,0,,,,322,2012-08,1
11325,11325,36,13.11,382.19,B,B4,10,MORTGAGE,34000,Not Verified,credit_card,VA,20.54,0,0,66.0,14,0,15732,60.5,25,f,0.0,0,,,,295,2012-07,0
2650,2650,36,16.29,93.55,D,D2,2,RENT,25000,Verified,debt_consolidation,CT,29.38,0,3,31.0,10,2,5200,59.8,29,f,0.0,0,0.0,26496.0,8700.0,176,2014-10,0
6000,6000,36,10.99,196.41,B,B3,3,MORTGAGE,45000,Not Verified,debt_consolidation,CO,17.76,0,3,,9,0,5387,42.1,11,f,0.0,0,0.0,154557.0,12800.0,98,2014-05,0
16000,16000,36,8.9,508.06,A,A5,6,MORTGAGE,103000,Verified,credit_card,MA,7.54,0,0,67.0,15,2,12544,39.9,45,f,0.0,0,0.0,169674.0,31400.0,313,2014-02,0
6800,6800,36,21.98,259.63,E,E4,2,MORTGAGE,45000,Verified,home_improvement,TX,20.77,0,3,,5,0,2972,92.9,12,w,0.0,0,0.0,149674.0,3200.0,149,2013-06,0
15000,15000,60,19.97,397.16,D,D5,10,MORTGAGE,64000,Verified,moving,IL,10.9,0,1,,11,0,13945,50.5,17,f,0.0,0,314.0,165859.0,27600.0,134,2014-02,1
18000,18000,36,8.9,571.56,A,A5,10,MORTGAGE,85000,Not Verified,debt_consolidation,OR,6.25,0,1,,12,0,20506,34.4,24,w,0.0,0,0.0,230802.0,59600.0,228,2013-12,0
35000,35000,36,19.05,1283.85,D,D4,10,RENT,129000,Verified,credit_card,NY,11.79,0,3,,23,0,34860,60.2,31,w,0.0,0,0.0,37733.0,57900.0,245,2013-05,0
5000,5000,36,12.39,167.01,C,C1,4,RENT,68000,Source Verified,vacation,CA,23.16,0,1,72.0,15,1,3519,17.4,33,w,0.0,0,0.0,49442.0,20200.0,181,2014-11,0
12575,12575,36,18.24,456.14,D,D5,4,RENT,35000,Verified,debt_consolidation,NY,13.13,0,0,,4,0,10766,89.7,5,w,0.0,0,0.0,10766.0,12000.0,218,2014-06,0
25600,25600,36,14.33,879.06,C,C1,8,MORTGAGE,72000,Verified,debt_consolidation,NC,16.57,0,0,,10,0,38447,76.1,21,f,0.0,0,0.0,305491.0,50552.0,326,2013-04,0
3250,3250,36,13.67,110.56,B,B5,3,OWN,30680,Verified,credit_card,OH,25.9,0,0,69.0,10,2,893,17.2,38,f,0.0,0,0.0,25812.0,5200.0,275,2013-12,0
19500,19500,36,7.9,610.16,A,A4,10,MORTGAGE,70000,Source Verified,debt_consolidation,HI,13.78,0,0,,6,0,20006,66.2,17,f,0.0,0,,,,191,2011-10,0
9450,9450,36,13.99,322.94,C,C1,0,MORTGAGE,19000,Verified,debt_consolidation,LA,16.61,0,1,,6,0,13902,70.2,14,f,0.0,0,,,,223,2012-06,0
4550,4550,36,7.12,140.75,A,A3,7,MORTGAGE,69000,Source Verified,debt_consolidation,NY,20.21,0,0,,19,0,6971,15.2,28,w,0.0,0,0.0,362295.0,45900.0,168,2014-05,0
6000,6000,36,5.79,181.97,A,A2,6,MORTGAGE,51000,Not Verified,car,NY,1.37,0,1,,6,0,1926,11.6,10,f,0.0,0,,,,196,2010-12,0
17625,17625,60,22.95,496.36,F,F1,0,RENT,54000,Verified,debt_consolidation,NC,18.09,0,0,33.0,6,0,6827,96.2,22,f,0.0,0,0.0,53528.0,7100.0,248,2013-05,1
